edge_prob,degree_matching,tsm,offline_statistics
0.0000000000,1.0000000000,0.6942270051,0.9188910296
0.0500000000,0.9221197015,0.6361209809,0.7726650511
0.1000000000,0.9518989899,0.6237508418,0.7666324018
0.1500000000,0.9633333333,0.6253333333,0.7306798763
0.2000000000,0.9773333333,0.6233333333,0.7411454396
0.2500000000,0.9846666667,0.5973333333,0.7447841243
0.3000000000,0.9880000000,0.6346666667,0.7237632888
0.3500000000,0.9886666667,0.6073333333,0.7538640457
0.4000000000,0.9893333333,0.6266666667,0.7325725479
0.4500000000,0.9933333333,0.6093333333,0.7502286250
0.5000000000,0.9946666667,0.6126666667,0.7297483207
0.5500000000,0.9966666667,0.6026666667,0.7327781725
0.6000000000,0.9953333333,0.6306666667,0.7404829726
0.6500000000,0.9966666667,0.6126666667,0.7361676068
0.7000000000,0.9973333333,0.6153333333,0.7539060569
0.7500000000,0.9980000000,0.6293333333,0.7475807838
0.8000000000,1.0000000000,0.6333333333,0.7265796131
0.8500000000,0.9986666667,0.6060000000,0.7274806920
0.9000000000,1.0000000000,0.5960000000,0.7431722556
0.9500000000,1.0000000000,0.5886666667,0.7233158301
1.0000000000,1.0000000000,0.6093333333,0.7424931660
